Count of Victims,Age Group,Sex,MethodofKilling,Domestic Abuse,Recorded Year,Recorded Month,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jan,Murder,Solved,Wandsworth,White
1,25 to 34,Male,Not known/Not Recorded,Not Domestic Abuse,2003,Jun,Murder,Solved,Wandsworth,Asian
1,45 to 54,Male,"Physical Assault, no weapon",Not Domestic Abuse,2003,Sep,Murder,Solved,Greenwich,Asian
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,2003,Sep,Murder,Solved,Kingston Upon Thames,White
1,0 to 12,Female,"Physical Assault, no weapon",Not Domestic Abuse,2003,Jun,Murder,Solved,Hounslow,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Oct,Murder,Solved,Hounslow,Asian
1,0 to 12,Female,"Physical Assault, no weapon",Not Domestic Abuse,2003,Jan,Murder,Solved,Richmond Upon Thames,White
1,13 to 19,Female,Not known/Not Recorded,Not Domestic Abuse,2003,Feb,Murder,Solved,Richmond Upon Thames,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Aug,Murder,Solved,Richmond Upon Thames,Other
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jan,Murder,Solved,Hillingdon,Asian
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,2003,May,Murder,Solved,Hillingdon,White
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,2003,Jun,Murder,Solved,Hillingdon,Asian
1,45 to 54,Female,Other Methods of Killing,Domestic Abuse,2003,Jul,Murder,Solved,Hillingdon,White
1,45 to 54,Male,Knife or Sharp Implement,Domestic Abuse,2003,Dec,Murder,Solved,Hillingdon,White
1,55 to 64,Male,Not known/Not Recorded,Not Domestic Abuse,2003,Jan,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Shooting,Not Domestic Abuse,2003,Feb,Murder,Unsolved,Lambeth,Black
1,45 to 54,Female,Other Methods of Killing,Not Domestic Abuse,2003,Feb,Murder,Unsolved,Lambeth,Black
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,2003,Mar,Murder,Unsolved,Lambeth,Black
1,13 to 19,Male,Shooting,Not Domestic Abuse,2003,Mar,Murder,Unsolved,Lambeth,Black
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,2003,Apr,Murder,Unsolved,Lambeth,White
1,25 to 34,Male,Shooting,Not Domestic Abuse,2003,Apr,Murder,Solved,Lambeth,Black
1,45 to 54,Male,Not known/Not Recorded,Not Domestic Abuse,2003,May,Murder,Solved,Hounslow,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Sep,Murder,Unsolved,Lambeth,Black
1,65 and over,Male,Other Methods of Killing,Not Domestic Abuse,2003,Sep,Manslaughter,Solved,Lambeth,Black
1,35 to 44,Female,Knife or Sharp Implement,Domestic Abuse,2003,Sep,Murder,Solved,Lambeth,White
1,25 to 34,Male,Shooting,Not Domestic Abuse,2003,Oct,Murder,Unsolved,Lambeth,Black
1,25 to 34,Male,"Physical Assault, no weapon",Not Domestic Abuse,2003,Nov,Murder,Solved,Lambeth,White
1,35 to 44,Male,Not known/Not Recorded,Not Domestic Abuse,2003,Nov,Murder,Unsolved,Lambeth,White
1,20 to 24,Male,Shooting,Not Domestic Abuse,2003,Dec,Murder,Unsolved,Lambeth,Black
1,65 and over,Male,Other Methods of Killing,Not Domestic Abuse,2003,Dec,Murder,Solved,Lambeth,White
1,20 to 24,Female,Blunt Implement,Not Domestic Abuse,2003,Jul,Murder,Solved,Hounslow,Asian
1,45 to 54,Female,Blunt Implement,Not Domestic Abuse,2003,Jul,Murder,Solved,Hounslow,Asian
1,0 to 12,Male,Blunt Implement,Not Domestic Abuse,2003,Jul,Murder,Solved,Hounslow,Asian
1,0 to 12,Male,Blunt Implement,Not Domestic Abuse,2003,Jul,Murder,Solved,Hounslow,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Feb,Murder,Solved,Merton,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Mar,Murder,Solved,Brent,Asian
1,25 to 34,Male,Shooting,Not Domestic Abuse,2003,Mar,Murder,Solved,Brent,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,2003,Apr,Murder,Unsolved,Brent,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,2003,Apr,Murder,Solved,Brent,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,May,Murder,Solved,Brent,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jun,Murder,Solved,Brent,Asian
1,35 to 44,Female,Other Methods of Killing,Not Domestic Abuse,2003,Aug,Murder,Solved,Brent,Asian
1,35 to 44,Female,Knife or Sharp Implement,Domestic Abuse,2003,Aug,Murder,Solved,Westminster,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Aug,Murder,Solved,Brent,Asian
1,35 to 44,Male,Shooting,Not Domestic Abuse,2003,Sep,Murder,Solved,Brent,Black
1,0 to 12,Female,Shooting,Not Domestic Abuse,2003,Sep,Murder,Solved,Brent,Black
1,45 to 54,Female,Other Methods of Killing,Domestic Abuse,2003,Oct,Murder,Solved,Brent,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Apr,Murder,Solved,Harrow,White
1,20 to 24,Male,Not known/Not Recorded,Not Domestic Abuse,2003,Sep,Murder,Solved,Harrow,White
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,2003,Nov,Murder,Solved,Harrow,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Feb,Murder,Solved,Camden,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,2003,Apr,Murder,Unsolved,Islington,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Sep,Murder,Solved,Camden,Black
1,35 to 44,Female,Not known/Not Recorded,Not Domestic Abuse,2003,Jan,Murder,Solved,Camden,White
1,25 to 34,Female,Not known/Not Recorded,Not Domestic Abuse,2003,Jan,Murder,Solved,Camden,White
1,25 to 34,Female,Not known/Not Recorded,Not Domestic Abuse,2003,Jan,Murder,Solved,Camden,White
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,2003,Mar,Murder,Solved,Barnet,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jun,Murder,Solved,Barnet,White
1,45 to 54,Male,Not known/Not Recorded,Not Domestic Abuse,2003,Jul,Murder,Solved,Barnet,Black
1,45 to 54,Male,Not known/Not Recorded,Not Domestic Abuse,2003,Sep,Murder,Solved,Ealing,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jan,Murder,Solved,Ealing,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jan,Murder,Solved,Ealing,White
1,65 and over,Female,Not known/Not Recorded,Not Domestic Abuse,2003,Feb,Murder,Unsolved,Ealing,White
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,2003,Feb,Murder,Solved,Ealing,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jun,Murder,Solved,Ealing,Asian
1,0 to 12,Female,Not known/Not Recorded,Not Domestic Abuse,2003,Aug,Murder,Solved,Ealing,Asian
1,25 to 34,Male,Blunt Implement,Not Domestic Abuse,2003,Jun,Murder,Unsolved,Islington,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Sep,Murder,Solved,Islington,White
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Oct,Murder,Solved,Islington,White
1,35 to 44,Male,Knife or Sharp Implement,Domestic Abuse,2003,Oct,Murder,Solved,Islington,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jan,Murder,Solved,Haringey,White
1,35 to 44,Female,Knife or Sharp Implement,Domestic Abuse,2003,Feb,Murder,Solved,Haringey,Black
1,35 to 44,Male,Shooting,Not Domestic Abuse,2003,Feb,Murder,Solved,Haringey,Black
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,2003,Feb,Murder,Solved,Haringey,White
1,35 to 44,Male,Shooting,Not Domestic Abuse,2003,Mar,Murder,Solved,Haringey,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Mar,Murder,Solved,Haringey,Black
1,25 to 34,Female,Shooting,Not Domestic Abuse,2003,Mar,Murder,Solved,Haringey,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Apr,Murder,Solved,Haringey,White
1,35 to 44,Female,Other Methods of Killing,Not Domestic Abuse,2003,May,Manslaughter,Solved,Haringey,White
1,65 and over,Male,Blunt Implement,Not Domestic Abuse,2003,Jun,Murder,Unsolved,Hackney,White
